"id","state","countyname","returns","label"
"01073","AL","Jefferson ",32,"Jefferson , AL"
"01089","AL","Madison ",22,"Madison , AL"
"01101","AL","Montgomery ",23,"Montgomery , AL"
"04013","AZ","Maricopa ",260,"Maricopa , AZ"
"04019","AZ","Pima ",40,"Pima , AZ"
"05119","AR","Pulaski ",24,"Pulaski , AR"
"06001","CA","Alameda ",102,"Alameda , CA"
"06013","CA","Contra Costa ",53,"Contra Costa , CA"
"06029","CA","Kern ",21,"Kern , CA"
"06037","CA","Los Angeles ",715,"Los Angeles , CA"
"06059","CA","Orange ",119,"Orange , CA"
"06065","CA","Riverside ",54,"Riverside , CA"
"06067","CA","Sacramento ",26,"Sacramento , CA"
"06071","CA","San Bernardino ",51,"San Bernardino , CA"
"06073","CA","San Diego ",248,"San Diego , CA"
"06075","CA","San Francisco ",141,"San Francisco , CA"
"06081","CA","San Mateo ",79,"San Mateo , CA"
"06085","CA","Santa Clara ",114,"Santa Clara , CA"
"06097","CA","Sonoma ",21,"Sonoma , CA"
"06111","CA","Ventura ",23,"Ventura , CA"
"08001","CO","Adams ",39,"Adams , CO"
"08005","CO","Arapahoe ",98,"Arapahoe , CO"
"08013","CO","Boulder ",48,"Boulder , CO"
"08031","CO","Denver ",179,"Denver , CO"
"08035","CO","Douglas ",23,"Douglas , CO"
"08041","CO","El Paso ",133,"El Paso , CO"
"08059","CO","Jefferson ",39,"Jefferson , CO"
"08069","CO","Larimer ",25,"Larimer , CO"
"09001","CT","Fairfield ",73,"Fairfield , CT"
"09003","CT","Hartford ",44,"Hartford , CT"
"09009","CT","New Haven ",51,"New Haven , CT"
"09011","CT","New London ",21,"New London , CT"
"10003",NA,NA,NA,"NA, NA"
"11001","DC","District of Columbia",227,"District of Columbia, DC"
"12001","FL","Alachua ",340,"Alachua , FL"
"12005","FL","Bay ",34,"Bay , FL"
"12009","FL","Brevard ",361,"Brevard , FL"
"12011","FL","Broward ",16798,"Broward , FL"
"12015","FL","Charlotte ",109,"Charlotte , FL"
"12017","FL","Citrus ",54,"Citrus , FL"
"12019","FL","Clay ",95,"Clay , FL"
"12021","FL","Collier ",565,"Collier , FL"
"12023","FL","Columbia ",33,"Columbia , FL"
"12031","FL","Duval ",639,"Duval , FL"
"12033","FL","Escambia ",73,"Escambia , FL"
"12035","FL","Flagler ",76,"Flagler , FL"
"12051","FL","Hendry ",105,"Hendry , FL"
"12053","FL","Hernando ",79,"Hernando , FL"
"12055","FL","Highlands ",163,"Highlands , FL"
"12057","FL","Hillsborough ",1576,"Hillsborough , FL"
"12061","FL","Indian River ",150,"Indian River , FL"
"12069","FL","Lake ",258,"Lake , FL"
"12071","FL","Lee ",1372,"Lee , FL"
"12073","FL","Leon ",230,"Leon , FL"
"12081","FL","Manatee ",215,"Manatee , FL"
"12083","FL","Marion ",272,"Marion , FL"
"12085","FL","Martin ",111,"Martin , FL"
"12086","FL","Miami-Dade ",30956,"Miami-Dade , FL"
"12087","FL","Monroe ",461,"Monroe , FL"
"12091","FL","Okaloosa ",67,"Okaloosa , FL"
"12093","FL","Okeechobee ",21,"Okeechobee , FL"
"12095","FL","Orange ",1812,"Orange , FL"
"12097","FL","Osceola ",520,"Osceola , FL"
"12099","FL","Palm Beach ",2433,"Palm Beach , FL"
"12101","FL","Pasco ",229,"Pasco , FL"
"12103","FL","Pinellas ",396,"Pinellas , FL"
"12105","FL","Polk ",504,"Polk , FL"
"12107","FL","Putnam ",21,"Putnam , FL"
"12109","FL","St. Johns ",107,"St. Johns , FL"
"12111","FL","St. Lucie ",491,"St. Lucie , FL"
"12113","FL","Santa Rosa ",22,"Santa Rosa , FL"
"12115","FL","Sarasota ",219,"Sarasota , FL"
"12117","FL","Seminole ",376,"Seminole , FL"
"12119","FL","Sumter ",50,"Sumter , FL"
"12121","FL","Suwannee ",44,"Suwannee , FL"
"12127","FL","Volusia ",282,"Volusia , FL"
"13021","GA","Bibb ",35,"Bibb , GA"
"13045","GA","Carroll ",25,"Carroll , GA"
"13051","GA","Chatham ",78,"Chatham , GA"
"13057","GA","Cherokee ",50,"Cherokee , GA"
"13063","GA","Clayton ",141,"Clayton , GA"
"13067","GA","Cobb ",208,"Cobb , GA"
"13077","GA","Coweta ",21,"Coweta , GA"
"13089","GA","DeKalb ",245,"DeKalb , GA"
"13095","GA","Dougherty ",22,"Dougherty , GA"
"13097","GA","Douglas ",36,"Douglas , GA"
"13113","GA","Fayette ",20,"Fayette , GA"
"13117","GA","Forsyth ",30,"Forsyth , GA"
"13121","GA","Fulton ",377,"Fulton , GA"
"13127","GA","Glynn ",22,"Glynn , GA"
"13135","GA","Gwinnett ",302,"Gwinnett , GA"
"13139","GA","Hall ",31,"Hall , GA"
"13151","GA","Henry ",73,"Henry , GA"
"13153","GA","Houston ",29,"Houston , GA"
"13179","GA","Liberty ",27,"Liberty , GA"
